index,symbol,companyName,listedDate,floor,industryName
0,BCM,Tổng Công ty Đầu tư và Phát triển Công nghiệp - CTCP,2020-08-31,HOSE,Đầu tư và phát triển bất động sản
1,D2D,Công ty Cổ phần Phát triển Đô thị Công nghiệp Số 2 ,2009-08-14,HOSE,Đầu tư và phát triển bất động sản
2,GVR,Tập đoàn Công nghiệp Cao su Việt Nam - Công ty cổ phần,2020-03-17,HOSE,Hóa chất cơ bản
3,IDC,Tổng Công ty IDICO - CTCP,2019-12-10,HNX,Đầu tư và phát triển bất động sản
4,IJC,Công ty Cổ phần Phát triển Hạ tầng Kỹ thuật,2010-04-19,HOSE,Xây dựng công trình
5,ITA,Công ty Cổ phần Đầu tư và Công nghiệp Tân Tạo ,2006-11-15,HOSE,Đầu tư và phát triển bất động sản
6,KBC,Tổng Công ty Phát triển Đô thị Kinh Bắc - CTCP,2009-12-18,HOSE,Đầu tư và phát triển bất động sản
7,LHG,Công ty Cổ phần Long Hậu ,2010-03-23,HOSE,Đầu tư và phát triển bất động sản
8,NTC,Công ty cổ phần Khu Công nghiệp Nam Tân Uyên,2016-12-19,UPCOM,Đầu tư và phát triển bất động sản
9,PHR,Công ty Cổ phần Cao su Phước Hòa ,2009-08-18,HOSE,Hóa chất cơ bản
10,SNZ,Tổng Công ty Cổ phần Phát triển khu Công Nghiệp,2017-11-20,UPCOM,Đầu tư và phát triển bất động sản
11,SZB,Công ty cổ phần Sonadezi Long Bình,2019-12-20,HNX,Dịch vụ bất động sản
12,SZC,Công ty cổ phần Sonadezi Châu Đức,2019-01-15,HOSE,Xây dựng công trình
13,SZL,Công ty Cổ phần Sonadezi Long Thành,2008-09-09,HOSE,Đầu tư và phát triển bất động sản
14,TIP,Công ty Cổ phần Phát triển Khu công nghiệp Tín Nghĩa,2016-06-06,HOSE,Quỹ tín thác bất động sản đa dạng
15,VGC,Tổng Công ty Viglacera - CTCP,2019-05-29,HOSE,Vật liệu xây dựng
