index,symbol,companyName,listedDate,floor,industryName
0,AGG,CTCP Đầu tư và Phát triển Bất động sản An Gia,2020-01-09,HOSE,Đầu tư và phát triển bất động sản
1,CEO,Công ty Cổ phần Tập Đoàn C.E.O,2014-09-29,HNX,Đầu tư và phát triển bất động sản
2,CKG,CÔNG TY CÔ PHẦN TẬP ĐOÀN TƯ VẤN ĐẦU TƯ XÂY DỰNG KIÊN GIANG,2020-03-25,HOSE,"Xây dựng, chế tạo nhà ở"
3,CRE,Công ty Cổ phần Bất động sản Thế kỷ,2018-09-05,HOSE,Dịch vụ bất động sản
4,DIG,Tổng công ty Đầu tư phát triển Xây dựng,2009-08-19,HOSE,Đầu tư và phát triển bất động sản
5,DXG,Công ty Cổ phần Tập đoàn Đất Xanh,2009-12-22,HOSE,Đầu tư và phát triển bất động sản
6,DXS,Công ty Cổ phần Dịch vụ Bất động sản Đất Xanh,2021-09-06,HOSE,Dịch vụ bất động sản
7,FLC,Công ty Cổ phần Tập đoàn FLC,2013-08-06,HOSE,Đầu tư và phát triển bất động sản
8,HDC,Công ty Cổ phần Phát triển nhà Bà Rịa-Vũng Tàu,2007-10-08,HOSE,Đầu tư và phát triển bất động sản
9,HDG,Công ty Cổ phần Tập đoàn Hà Đô,2010-02-02,HOSE,Đầu tư và phát triển bất động sản
10,HPX,Công ty cổ phần Đầu tư Hải Phát,2018-07-24,HOSE,Đầu tư và phát triển bất động sản
11,HQC,Công ty Cổ phần Tư vấn - Thương mại - Dịch vụ Địa ốc Hoàng Quân,2010-10-20,HOSE,Đầu tư và phát triển bất động sản
12,KDH,Công ty Cổ phần Đầu tư và Kinh doanh Nhà Khang Điền,2010-02-01,HOSE,Đầu tư và phát triển bất động sản
13,KHG,Công ty Cổ phần Bất động sản Khải Hoàn Land,2021-09-06,HOSE,Dịch vụ bất động sản
14,L14,Công ty Cổ phần Licogi 14,2011-09-13,HNX,Xây dựng công trình
15,LDG,Công ty Cổ phần Đầu tư LDG ,2015-08-12,HOSE,Đầu tư và phát triển bất động sản
16,NLG,Công ty Cổ phần Đầu tư Nam Long,2013-04-08,HOSE,Đầu tư và phát triển bất động sản
17,NTL,Công ty Cổ phần Phát triển đô thị Từ Liêm,2007-12-21,HOSE,Đầu tư và phát triển bất động sản
18,NVL,Công ty cổ phần Tập đoàn Đầu tư Địa ốc No Va,2016-12-28,HOSE,Đầu tư và phát triển bất động sản
19,PDR,Công ty Cổ phần Phát triển Bất động sản Phát Đạt ,2010-07-30,HOSE,Đầu tư và phát triển bất động sản
20,REE,Công ty Cổ phần Cơ điện lạnh,2000-07-28,HOSE,Dịch vụ tiện ích tổng hợp
21,SCR,Công ty Cổ phần Địa ốc Sài Gòn Thương Tín,2016-11-18,HOSE,Đầu tư và phát triển bất động sản
22,SSH,Công ty Cổ phần phát triển Sunshine Homes,2021-08-04,UPCOM,"Xây dựng, chế tạo nhà ở"
23,VCR,Công ty Cổ phần Đầu tư và Phát triển Du lịch Vinaconex,2020-05-12,UPCOM,Đầu tư và phát triển bất động sản
24,VHM,Công ty cổ phần Vinhomes,2018-05-17,HOSE,Đầu tư và phát triển bất động sản
25,VIC,Tập đoàn VINGROUP - CTCP,2007-09-19,HOSE,Đầu tư và phát triển bất động sản
26,VRE,Công ty Cổ phần Vincom Retail,2017-11-06,HOSE,Đầu tư và phát triển bất động sản
