index,symbol,companyName,listedDate,floor,industryName
0,CCR,Công ty Cổ phần Cảng Cam Ranh ,2021-11-19,HNX,Dịch vụ vận tải
1,CDN,Công ty Cổ phần Cảng Đà Nẵng,2016-11-30,HNX,Dịch vụ vận tải
2,CLL,Công ty Cổ phần Cảng Cát Lái,2014-07-08,HOSE,Dịch vụ vận tải
3,CNG,Công ty Cổ phần CNG Việt Nam,2011-11-23,HOSE,Gas
4,DVP,Công ty Cổ phần Đầu tư và Phát triển cảng Đình Vũ,2009-12-01,HOSE,Dịch vụ vận tải
5,DXP,Công ty Cổ phần Cảng Đoạn Xá,2009-06-08,HNX,Dịch vụ vận tải
6,GIC,Công ty Cổ phần Đầu tư dịch vụ và Phát triển Xanh,2020-11-06,HNX,Dịch vụ vận tải
7,GMD,Công ty Cổ phần Gemadept ,2002-04-22,HOSE,Dịch vụ vận tải
8,GSP,Công ty Cổ phần Vận tải Sản Phẩm khí Quốc Tế,2012-03-09,HOSE,Gas
9,HAH,Công ty Cổ phần Vận tải và xếp dỡ Hải An ,2015-03-11,HOSE,Dịch vụ vận tải
10,ILB,Công ty Cổ phần ICD Tân Cảng - Long Bình,2019-05-15,HOSE,Dịch vụ bất động sản
11,MVN,Tổng Công ty Hàng hải Việt Nam – Công ty cổ phần,2018-10-08,UPCOM,Vận tải biển
12,PHP,Công ty Cổ phần Cảng Hải Phòng,2015-08-12,HNX,Dịch vụ vận tải
13,PVT,Tổng Công ty Cổ phần Vận tải dầu khí,2007-12-10,HOSE,Vận tải biển
14,SGP,Công ty Cổ phần Cảng Sài Gòn,2016-04-25,UPCOM,Dịch vụ vận tải
15,TCD,Công ty Cổ phần Đầu tư Phát triển Công nghiệp và Vận tải,2017-05-26,HOSE,Xây dựng công trình
16,TCL,Công ty Cổ phần Đại lý giao nhận Vận tải xếp dỡ Tân Cảng ,2009-12-24,HOSE,Dịch vụ vận tải
17,VNA,Công ty Cổ phần vận tải biển VINASHIP ,2017-05-03,UPCOM,Vận tải biển
18,VOS,Công ty Cổ phần Vận tải biển Việt Nam ,2010-09-08,HOSE,Vận tải biển
19,VSC,Công ty Cổ phần Container Việt Nam ,2008-01-09,HOSE,Dịch vụ vận tải
