index,symbol,companyName,listedDate,floor,industryName
0,AAS,Công ty Cổ phần Chứng khoán SmartInvest,2020-07-23,UPCOM,Dịch vụ đầu tư
1,AGR,Công ty Cổ phần Chứng khoán Agribank,2009-12-10,HOSE,Dịch vụ đầu tư
2,APG,Công ty Cổ phần Chứng khoán APG,2016-11-30,HOSE,Dịch vụ đầu tư
3,APS,Công ty Cổ phần Chứng khoán Châu Á - Thái Bình Dương,2010-04-19,HNX,Dịch vụ đầu tư
4,ART,Công ty cổ phần Chứng khoán BOS,2018-09-28,HNX,Dịch vụ đầu tư
5,BMS,Công ty Cổ phần Chứng Khoán Bảo Minh,2018-08-08,UPCOM,Dịch vụ đầu tư
6,BSI,Công ty Cổ phần Chứng khoán Ngân hàng Đầu tư và Phát triển Việt Nam,2021-09-06,HOSE,Dịch vụ đầu tư
7,BVS,Công ty Cổ phần Chứng khoán Bảo Việt,2006-12-18,HNX,Dịch vụ đầu tư
8,CTS,Công ty Cổ phần Chứng khoán Ngân hàng Công thương Việt Nam,2017-06-20,HOSE,Dịch vụ đầu tư
9,DSC,Công ty cổ phần chứng khoán DSC,2018-01-05,UPCOM,Dịch vụ đầu tư
10,EVS,Công ty Cổ phần Chứng khoán Everest,2019-06-26,HNX,Dịch vụ đầu tư
11,FTS,Công ty Cổ phần Chứng khoán FPT,2017-01-13,HOSE,Dịch vụ đầu tư
12,HBS,Công ty Cổ phần Chứng khoán Hòa Bình,2010-07-16,HNX,Dịch vụ đầu tư
13,HCM,Công ty Cổ phần Chứng khoán Thành phố Hồ Chí Minh,2009-05-19,HOSE,Dịch vụ đầu tư
14,IVS,Công ty Cổ phần Chứng khoán Đầu tư Việt Nam,2011-08-01,HNX,Dịch vụ đầu tư
15,MBS,Công ty Cổ phần chứng khoán MB,2016-03-28,HNX,Dịch vụ đầu tư
16,ORS,Công ty Cổ phần Chứng khoán Tiên Phong,2021-11-04,HOSE,Dịch vụ đầu tư
17,PSI,Công ty Cổ phần Chứng khoán Dầu khí,2010-07-21,HNX,Dịch vụ đầu tư
18,SBS,Công ty Cổ phần Chứng khoán Ngân hàng Sài Gòn Thương tín ,2014-04-28,UPCOM,Dịch vụ đầu tư
19,SHS,Công ty Cổ phần Chứng khoán Sài Gòn Hà Nội ,2009-06-25,HNX,Dịch vụ đầu tư
20,SSI,Công ty Cổ phần chứng khoán SSI,2007-10-29,HOSE,Dịch vụ đầu tư
21,TCI,Công ty cổ phần Chứng khoán Thành Công,2018-09-05,UPCOM,Dịch vụ đầu tư
22,TVB,Công ty Cổ phần Chứng khoán Trí Việt,2021-09-06,HOSE,Dịch vụ đầu tư
23,TVS,Công ty Cổ phần Chứng Khoán Thiên Việt,2015-01-15,HOSE,Dịch vụ đầu tư
24,VCI,Công ty Cổ phần Chứng khoán Bản Việt,2017-07-07,HOSE,Dịch vụ đầu tư
25,VDS,Công ty Cổ phần Chứng khoán Rồng Việt (VDSC),2017-07-19,HOSE,Dịch vụ đầu tư
26,VFS,Công ty cổ phần chứng khoán Nhất Việt,2020-07-01,UPCOM,Dịch vụ đầu tư
27,VIG,Công ty Cổ phần Chứng khoán Thương mại và Công nghiệp Việt Nam (VICS) ,2009-12-01,HNX,Dịch vụ đầu tư
28,VIX,CÔNG TY CỔ PHẦN CHỨNG KHOÁN VIX,2021-01-08,HOSE,Dịch vụ đầu tư
29,VND,Công ty Cổ phần Chứng khoán VNDIRECT,2021-09-06,HOSE,Dịch vụ đầu tư
30,WSS,Công ty Cổ phần Chứng khoán phố Wall,2009-12-15,HNX,Dịch vụ đầu tư
