index,symbol,companyName,listedDate,floor,industryName
0,AAT,Công ty cổ phần Tiên Sơn Thanh Hoá,2021-03-24,HOSE,"Đồ may mặc, trang sức, phụ kiện"
1,ADS,Công ty Cổ phần Damsan,2016-06-29,HOSE,Hóa chất cơ bản
2,EVE,Công ty Cổ phần Everpia,2010-12-17,HOSE,Các sản phẩm gia dụng lâu bền
3,GIL,Công ty Cổ phần Sản Xuất Kinh Doanh Xuất Nhập Khẩu Bình Thạnh,2002-01-02,HOSE,"Đồ may mặc, trang sức, phụ kiện"
4,GMC,Công ty cổ phần Garmex Sài Gòn,2006-12-22,HOSE,"Đồ may mặc, trang sức, phụ kiện"
5,KMR,Công ty Cổ phần Mirae ,2008-06-30,HOSE,"Đồ may mặc, trang sức, phụ kiện"
6,M10,Tổng công ty May 10 - Công ty Cổ phần,2018-01-10,UPCOM,"Đồ may mặc, trang sức, phụ kiện"
7,MSH,Công ty cổ phần May Sông Hồng,2018-11-28,HOSE,"Đồ may mặc, trang sức, phụ kiện"
8,PPH,Tổng Công ty Cổ phần Phong Phú,2017-08-23,UPCOM,"Đồ may mặc, trang sức, phụ kiện"
9,SDG,Công ty Cổ phần SADICO Cần Thơ,2009-12-22,HNX,Bao bì & đóng gói
10,STK,Công ty Cổ phần Sợi thế kỷ ,2015-09-30,HOSE,Hóa chất cơ bản
11,TCM,Công ty Cổ phần Dệt may - Đầu tư - Thương mại Thành Công ,2007-10-15,HOSE,"Đồ may mặc, trang sức, phụ kiện"
12,TNG,Công ty Cổ phần Đầu tư và Thương mại TNG,2007-11-22,HNX,"Đồ may mặc, trang sức, phụ kiện"
13,TVT,Tổng công ty Việt Thắng - CTCP,2017-07-17,HOSE,"Đồ may mặc, trang sức, phụ kiện"
14,VGG,Tổng Công ty Cổ phần may Việt Tiến ,2016-03-10,UPCOM,"Đồ may mặc, trang sức, phụ kiện"
15,VGT,Tập đoàn Dệt May Việt Nam,2017-01-03,UPCOM,"Đồ may mặc, trang sức, phụ kiện"
