index,symbol,companyName,listedDate,floor,industryName
0,AAV,Công ty cổ phần Việt Tiên Sơn Địa ốc,2018-06-25,HNX,Xây dựng công trình
1,ACM,Công ty Cổ phần Tập đoàn khoáng sản Á Cường,2015-07-23,HNX,Khai khoáng nói chung
2,ADC,Công ty Cổ phần Mĩ thuật và Truyền thông ,2010-12-24,HNX,Hoạt động xuất bản
3,ALT,Công ty Cổ phần văn hoá Tân Bình ,2009-07-27,HNX,Hoạt động xuất bản
4,AMC,Công ty Cổ phần Khoáng sản Á Châu,2012-02-15,HNX,Khai khoáng nói chung
5,AME,Công ty Cổ phần Alphanam E&C,2010-06-02,HNX,Thiết bị điện
6,AMV,Công ty Cổ phần Sản xuất kinh doanh dược và Trang thiết bị y tế Việt Mỹ,2009-12-30,HNX,Thiết bị y tế
7,API,Công ty Cổ phần Đầu tư Châu Á - Thái Bình Dương,2010-09-13,HNX,Tài chính chuyên biệt
8,APP,Công ty Cổ phần Phát triển Phụ gia và Sản phẩm dầu mỏ ,2010-10-05,HNX,Hóa chất đặc biệt
9,APS,Công ty Cổ phần Chứng khoán Châu Á - Thái Bình Dương,2010-04-19,HNX,Dịch vụ đầu tư
10,ARM,Công ty Cổ phần Xuất nhập khẩu Hàng không,2010-10-26,HNX,Cung ứng
11,ART,Công ty cổ phần Chứng khoán BOS,2018-09-28,HNX,Dịch vụ đầu tư
12,ATS,Công ty cổ phần Suất ăn công nghiệp Atesco,2016-03-29,HNX,Nhà hàng & quầy bar
13,BAB,Ngân hàng Thương mại cổ phần Bắc Á,2021-03-03,HNX,Ngân hàng
14,BAX,Công ty Cổ phần Thống Nhất,2017-03-24,HNX,Đầu tư và phát triển bất động sản
15,BBS,Công ty Cổ phần VICEM Bao bì Bút Sơn,2005-12-28,HNX,Bao bì & đóng gói
16,BCC,Công ty Cổ phần Xi măng Bỉm Sơn,2006-11-24,HNX,Vật liệu xây dựng
17,BCF,Công ty Cổ phần Thực phẩm Bích Chi,2020-03-16,HNX,Sản xuất thực phẩm
18,BDB,Công ty Cổ phần Sách và Thiết bị Bình Định ,2010-01-29,HNX,Cửa hàng chuyên dụng
19,BED,Công ty Cổ phần Sách và Thiết bị trường học Đà Nẵng,2009-10-21,HNX,Cửa hàng chuyên dụng
20,BII,Công ty Cổ phần Louis Land,2014-09-22,HNX,Đầu tư và phát triển bất động sản
21,BKC,Công ty Cổ phần Khoáng sản Bắc Kạn ,2009-08-18,HNX,Khai khoáng nói chung
22,BLF,Công ty Cổ phần Thủy sản Bạc Liêu,2008-06-02,HNX,Nông sản và thủy hải sản
23,BNA,Công ty Cổ phần Đầu tư Sản xuất Bảo Ngọc,2020-10-12,HNX,Bán lẻ thực phẩm
24,BPC,Công ty Cổ phần Vicem Bao bì Bỉm sơn,2009-06-08,HNX,Bao bì & đóng gói
25,BSC,Công ty Cổ phần Dịch vụ Bến Thành,2011-01-05,HNX,Bán lẻ tổng hợp
