index,symbol,companyName,listedDate,floor,industryName
0,AAA,Công ty cổ phần Nhựa An Phát Xanh,2016-11-25,HOSE,Bao bì & đóng gói
1,AAM,Công ty Cổ phần Thủy sản Mekong,2009-09-24,HOSE,Nông sản và thủy hải sản
2,AAT,Công ty cổ phần Tiên Sơn Thanh Hoá,2021-03-24,HOSE,"Đồ may mặc, trang sức, phụ kiện"
3,ABS,Công ty Cổ phần Dịch vụ Nông nghiệp Bình Thuận,2020-03-18,HOSE,Sản phẩm sinh hóa
4,ABT,Công ty Cổ phần Xuất nhập khẩu thủy sản Bến Tre,2021-09-06,HOSE,Nông sản và thủy hải sản
5,ACB,Ngân hàng Thương mại Cổ phần Á Châu,2020-12-09,HOSE,Ngân hàng
6,ACC,Công ty cổ phần Đầu tư và Xây dựng Bình Dương ACC,2011-06-30,HOSE,Vật liệu xây dựng
7,ACL,Công ty Cổ phần Xuất nhập khẩu Thủy sản Cửu Long An Giang,2007-09-05,HOSE,Nông sản và thủy hải sản
8,ADG,Công ty Cổ phần Clever Group,2021-02-22,HOSE,Các hãng truyền thông
9,ADS,Công ty Cổ phần Damsan,2016-06-29,HOSE,Hóa chất cơ bản
10,AGG,CTCP Đầu tư và Phát triển Bất động sản An Gia,2020-01-09,HOSE,Đầu tư và phát triển bất động sản
11,AGM,Công ty Cổ phần xuất nhập khẩu An Giang,2012-12-14,HOSE,Sản xuất thực phẩm
12,AGR,Công ty Cổ phần Chứng khoán Agribank,2009-12-10,HOSE,Dịch vụ đầu tư
13,AMD,Công ty cổ phần đầu tư và khoáng sản FLC Stone,2015-06-16,HOSE,Bán lẻ tổng hợp
14,ANV,Công ty TNHH Amicogen Nam Việt,2007-12-07,HOSE,Nông sản và thủy hải sản
15,APC,Công ty Cổ phần Chiếu xạ An Phú,2010-02-05,HOSE,Hóa chất đặc biệt
16,APG,Công ty Cổ phần Chứng khoán APG,2016-11-30,HOSE,Dịch vụ đầu tư
17,APH,Công ty cổ phần Tập đoàn An Phát Holdings,2020-07-28,HOSE,Hóa chất cơ bản
18,ASG,Công ty Cổ phần Tập đoàn ASG,2021-09-27,HOSE,Dịch vụ vận tải
19,ASM,Công ty Cổ phần Tập đoàn Sao Mai ,2010-01-18,HOSE,Đầu tư và phát triển bất động sản
20,ASP,Công ty Cổ phần Tập đoàn Dầu khí An Pha,2008-02-15,HOSE,Gas
21,AST,Công ty Cổ phần Dịch vụ Hàng không Taseco,2018-01-04,HOSE,Dịch vụ tiêu dùng chuyên dụng
22,BAF,Công ty Cổ phần Nông nghiệp BAF Việt Nam,2021-12-03,HOSE,Nông sản và thủy hải sản
23,BBC,Công ty Cổ phần Bibica,2021-09-07,HOSE,Sản xuất thực phẩm
24,BCE,Công ty Cổ phần Xây dựng và Giao thông Bình Dương,2010-06-28,HOSE,Xây dựng công trình
25,BCG,Công ty Cổ phần Bamboo Capital,2015-07-16,HOSE,Dịch vụ hỗ trợ kinh doanh
26,BCM,Tổng Công ty Đầu tư và Phát triển Công nghiệp - CTCP,2020-08-31,HOSE,Đầu tư và phát triển bất động sản
27,BFC,Công ty Cổ phần Phân bón Bình Điền ,2015-10-07,HOSE,Hóa chất đặc biệt
28,BHN,Tổng Công ty Cổ phần Bia - Rượu - Nước giải khát Hà Nội,2017-01-19,HOSE,Sản xuất bia
29,BIC,Tổng Công ty Cổ phần Bảo Hiểm Ngân hàng Đầu tư và Phát triển Việt Nam ,2011-09-06,HOSE,Bảo hiểm đa ngành
30,BID,Ngân hàng Thương mại Cổ phần Đầu tư và Phát triển Việt Nam ,2014-01-24,HOSE,Ngân hàng
31,BKG,Công ty Cổ phần Đầu tư BKG Việt Nam,2020-12-31,HOSE,Chế phẩm từ gỗ
32,BMC,Công ty Cổ phần Khoáng sản Bình Định,2006-12-28,HOSE,Khai khoáng nói chung
33,BMI,Tổng Công ty Cổ phần Bảo Minh ,2008-04-21,HOSE,Bảo hiểm đa ngành
34,BMP,Công ty Cổ phần nhựa Bình Minh,2006-07-11,HOSE,Vật liệu xây dựng
35,BRC,Công ty Cổ phần Cao su Bến Thành ,2011-12-13,HOSE,Hóa chất cơ bản
36,BSI,Công ty Cổ phần Chứng khoán Ngân hàng Đầu tư và Phát triển Việt Nam,2021-09-06,HOSE,Dịch vụ đầu tư
37,BTP,Công ty Cổ phần Nhiệt điện Bà Rịa,2009-11-25,HOSE,Điện
38,BTT,Công ty Cổ phần Thương mại - Dịch vụ Bến Thành,2010-04-14,HOSE,Cửa hàng chuyên dụng
39,BVH,Tập đoàn Bảo Việt ,2009-06-25,HOSE,Bảo hiểm đa ngành
40,BWE,Công ty Cổ phần Nước - Môi trường Bình Dương,2017-07-20,HOSE,Nước
41,C32,Công ty cổ phần CIC39,2012-11-30,HOSE,Vật liệu xây dựng
42,C47,Công ty Cổ phần Xây dựng 47,2011-03-30,HOSE,Vật liệu xây dựng
43,CAV,Công ty Cổ phần dây cáp điện Việt Nam ,2021-09-06,HOSE,Thiết bị điện
44,CCI,Công ty Cổ phần Đầu tư Phát triển Công nghiệp Thương mại Củ Chi,2010-04-15,HOSE,Cửa hàng chuyên dụng
45,CCL,Công ty Cổ phần Đầu tư và Phát triển Đô thị Dầu khí Cửu Long,2011-03-03,HOSE,Đầu tư và phát triển bất động sản
46,CDC,Công ty Cổ phần Chương Dương,2010-09-13,HOSE,Xây dựng công trình
47,CEE,Công ty Cổ phần Xây dựng Hạ tầng CII,2017-05-15,HOSE,Xây dựng công trình
48,CHP,Công ty Cổ phần Thủy điện miền Trung,2016-09-29,HOSE,Điện
49,CIG,Công ty Cổ phần COMA18,2011-07-19,HOSE,Đầu tư và phát triển bất động sản
50,CII,Công ty Cổ phần Đầu tư Hạ tầng Kỹ thuật Thành phố Hồ Chí Minh ,2006-05-18,HOSE,Đầu tư và phát triển bất động sản
51,CKG,CÔNG TY CÔ PHẦN TẬP ĐOÀN TƯ VẤN ĐẦU TƯ XÂY DỰNG KIÊN GIANG,2020-03-25,HOSE,"Xây dựng, chế tạo nhà ở"
52,CLC,Công ty Cổ phần Cát Lợi,2006-11-16,HOSE,Thuốc lá
53,CLL,Công ty Cổ phần Cảng Cát Lái,2014-07-08,HOSE,Dịch vụ vận tải
54,CLW,Công ty Cổ phần Cấp nước Chợ Lớn ,2011-01-11,HOSE,Nước
55,CMG,Công ty Cổ phần Tập đoàn Công nghệ CMC,2010-01-22,HOSE,Dịch vụ máy tính
56,CMV,Công ty Cổ phần Thương Nghiệp Cà Mau,2010-06-21,HOSE,Cửa hàng chuyên dụng
57,CMX,Công ty cổ phần Camimex Group,2010-11-09,HOSE,Sản xuất thực phẩm
58,CNG,Công ty Cổ phần CNG Việt Nam,2011-11-23,HOSE,Gas
59,COM,Công ty Cổ phần Vật Tư - Xăng Dầu,2006-08-07,HOSE,Cửa hàng chuyên dụng
