index,symbol,companyName,listedDate,floor,industryName
0,ACV,Tổng công ty cảng hàng không Việt Nam - CTCP,2016-11-21,UPCOM,Dịch vụ vận tải
1,ASG,Công ty Cổ phần Tập đoàn ASG,2021-09-27,HOSE,Dịch vụ vận tải
2,AST,Công ty Cổ phần Dịch vụ Hàng không Taseco,2018-01-04,HOSE,Dịch vụ tiêu dùng chuyên dụng
3,CIA,Công ty Cổ phần Dịch vụ Sân bay Quốc tế Cam Ranh,2017-11-29,HNX,Dịch vụ vận tải
4,HVN,Tổng Công ty Hàng không Việt Nam - CTCP,2019-05-07,HOSE,Hàng không
5,MAS,Công ty Cổ phần Dịch vụ hàng không sân bay Đà Nẵng ,2014-07-15,HNX,Dịch vụ vận tải
6,NCS,Công ty cổ phần Suất ăn hàng không Nội Bài,2015-12-02,UPCOM,Nhà hàng & quầy bar
7,NCT,Công ty Cổ phần dịch vụ hàng hóa Nội Bài ,2015-01-08,HOSE,Dịch vụ giao nhận
8,SAS,Công ty Dịch vụ Hàng không sân bay Tân Sơn Nhất,2015-04-16,UPCOM,Dịch vụ vận tải
9,SCS,Công ty Cổ phần Dịch vụ Hàng hóa Sài Gòn,2018-08-03,HOSE,Dịch vụ vận tải
10,VJC,Công ty cổ phần Hàng không VIETJET,2017-02-28,HOSE,Hàng không
