index,symbol,companyName,listedDate,floor,industryName
0,BCG,Công ty Cổ phần Bamboo Capital,2015-07-16,HOSE,Dịch vụ hỗ trợ kinh doanh
1,BTP,Công ty Cổ phần Nhiệt điện Bà Rịa,2009-11-25,HOSE,Điện
2,DNH,Công ty cổ phần Thủy điện Đa Nhim - Hàm Thuận - Đa Mi,2017-06-19,UPCOM,Điện
3,DTK,Tổng công ty Điện lực TKV - CTCP,2020-12-25,HNX,Điện
4,GE2,Tổng Công ty Phát điện 2 - Công ty Cổ phần,2021-05-07,UPCOM,Điện
5,GEG,Công ty Cổ phần Điện Gia Lai,2019-09-19,HOSE,Điện
6,HNA,Công ty cổ phần Thủy điện Hủa Na,2017-10-05,UPCOM,Điện
7,HND,Công ty Cổ phần Nhiệt điện Hải Phòng,2016-10-05,UPCOM,Điện
8,NBP,Công ty Cổ phần Nhiệt điện Ninh Bình,2009-08-06,HNX,Điện
9,NT2,Công ty Cổ phần Điện lực Dầu khí Nhơn Trạch 2 ,2015-06-12,HOSE,Điện
10,PGV,Tổng Công ty Phát điện 3 - Công ty cổ phần,2018-03-21,UPCOM,Điện
11,POW,Tổng Công ty Điện lực Dầu khí Việt Nam – Công ty cổ phần,2019-01-14,HOSE,Điện
12,PPC,Công ty Cổ phần Nhiệt điện Phả Lại ,2007-01-26,HOSE,Điện
13,QTP,Công ty Cổ phần Nhiệt điện Quảng Ninh,2017-03-16,UPCOM,Điện
14,SJD,Công ty Cổ phần Thủy Điện Cần Đơn,2006-12-25,HOSE,Điện
15,TTA,Công ty Cổ phần Đầu tư Xây dựng và Phát triển Trường Thành,2020-09-18,HOSE,Điện
16,VSH,Công ty Cổ phần Thủy điện Vĩnh Sơn – Sông Hinh,2006-07-18,HOSE,Điện
