index,symbol,companyName,listedDate,floor,industryName
0,BFC,Công ty Cổ phần Phân bón Bình Điền ,2015-10-07,HOSE,Hóa chất đặc biệt
1,DCM,Công ty Cổ phần Phân Bón Dầu khí Cà Mau,2015-03-31,HOSE,Hóa chất đặc biệt
2,DDV,Công ty Cổ phần DAP - VINACHEM,2015-06-10,UPCOM,Hóa chất đặc biệt
3,DGC,Công ty cổ phần Tập đoàn Hóa chất Đức Giang,2020-07-28,HOSE,Hóa chất cơ bản
4,DHB,Công ty Cổ phần Phân đạm và Hóa chất Hà Bắc,2017-07-26,UPCOM,Hóa chất đặc biệt
5,DPM,Tổng Công ty Cổ phần Phân bón và Hóa chất dầu khí,2007-11-05,HOSE,Hóa chất đặc biệt
6,HSI,Công ty Cổ phần Vật tư Tổng hợp và Phân bón Hóa sinh,2015-05-11,UPCOM,Hóa chất đặc biệt
7,LAS,Công ty Cổ phần Supe Phốt phát và Hóa chất Lâm Thao,2012-03-01,HNX,Hóa chất đặc biệt
8,NFC,Công ty Cổ phần Phân lân Ninh Bình ,2014-03-03,HNX,Hóa chất đặc biệt
9,PCE,Công ty Cổ phần Phân bón và Hóa chất Dầu khí Miền Trung,2015-07-23,HNX,Hóa chất đặc biệt
10,PMB,Công ty Cổ phần Phân bón và Hóa chất Dầu khí miền Bắc ,2015-10-07,HNX,Hóa chất đặc biệt
11,PSW,Công ty Cổ phần Phân bón và Hóa chất dầu khí Tây Nam Bộ,2015-07-21,HNX,Hóa chất đặc biệt
12,SFG,Công ty Cổ phần phân bón Miền Nam,2014-12-01,HOSE,Hóa chất đặc biệt
13,VAF,Công ty Cổ phần Phân lân nung chảy Văn Điển,2015-06-23,HOSE,Hóa chất đặc biệt
