index,symbol,companyName,listedDate,floor,industryName
0,HPG,Công ty Cổ phần Tập đoàn Hòa Phát,2007-11-15,HOSE,Thép
1,HSG,Công ty Cổ phần Tập đoàn Hoa Sen,2008-12-05,HOSE,Thép
2,NKG,Công ty Cổ phần Thép Nam Kim,2011-01-14,HOSE,Thép
3,POM,Công ty Cổ phần Thép Pomina,2010-04-20,HOSE,Thép
4,SMC,Công ty Cổ phần đầu tư thương mại SMC ,2006-10-30,HOSE,Thép
5,TIS,Công ty Cổ phần Gang thép Thái Nguyên ,2011-03-24,UPCOM,Thép
6,TLH,Công ty Cổ phần Tập đoàn thép Tiến Lên,2010-03-16,HOSE,Thép
7,TVN,Tổng công ty Thép Việt Nam - CTCP,2016-01-18,UPCOM,Thép
8,VCA,Công ty Cổ phần Thép VICASA - VNSTEEL,2021-03-10,HOSE,Thép
9,VGS,Công ty Cổ phần Ống thép Việt Đức VG PIPE,2008-12-04,HNX,Thép
10,VIS,Công ty Cổ phần Thép Việt Ý,2006-12-25,HOSE,Thép
