index,symbol,companyName,listedDate,floor,industryName
0,ACL,Công ty Cổ phần Xuất nhập khẩu Thủy sản Cửu Long An Giang,2007-09-05,HOSE,Nông sản và thủy hải sản
1,ANV,Công ty TNHH Amicogen Nam Việt,2007-12-07,HOSE,Nông sản và thủy hải sản
2,ASM,Công ty Cổ phần Tập đoàn Sao Mai ,2010-01-18,HOSE,Đầu tư và phát triển bất động sản
3,CMX,Công ty cổ phần Camimex Group,2010-11-09,HOSE,Sản xuất thực phẩm
4,FMC,Công ty Cổ phần Thực phẩm Sao Ta ,2006-12-07,HOSE,Nông sản và thủy hải sản
5,IDI,Công ty Cổ phần Đầu tư và Phát triển Đa Quốc Gia IDI,2011-06-30,HOSE,Nông sản và thủy hải sản
6,MPC,Công ty cổ phần Tập đoàn Thủy sản Minh Phú,2017-10-16,UPCOM,Nông sản và thủy hải sản
7,SEA,Tổng Công ty Thủy sản Việt Nam – Công ty cổ phần,2016-12-23,UPCOM,Nông sản và thủy hải sản
8,SSN,Công ty Cổ phần Xuất nhập khẩu Thủy sản Sài Gòn,2013-10-15,UPCOM,Nông sản và thủy hải sản
9,VHC,Công ty Cổ phần Vĩnh Hoàn,2007-12-24,HOSE,Nông sản và thủy hải sản
