index,symbol,companyName,listedDate,floor,industryName
0,A32,Công ty cổ phần 32,2018-10-23,UPCOM,"Đồ may mặc, trang sức, phụ kiện"
1,AAS,Công ty Cổ phần Chứng khoán SmartInvest,2020-07-23,UPCOM,Dịch vụ đầu tư
2,ABB,Ngân hàng Thương mại Cổ phần An Bình,2020-12-28,UPCOM,Ngân hàng
3,ABC,Công ty cổ phần Truyền thông VMG,2016-08-18,UPCOM,Dịch vụ viễn thông di động
4,ABI,Công ty Cổ phần Bảo hiểm Ngân hàng Nông nghiệp (ABIC) ,2009-07-16,UPCOM,Bảo hiểm đa ngành
5,ABR,Công ty Cổ phần Đầu tư Nhãn hiệu Việt,2018-06-12,UPCOM,Dịch vụ tiện ích tổng hợp
6,ACE,Công ty Cổ phần Bê tông ly tâm An Giang,2009-11-10,UPCOM,Vật liệu xây dựng
7,ACG,Công ty Cổ phần Gỗ An Cường,2021-08-04,UPCOM,"Đồ đạc, nội thất"
8,ACS,Công ty Cổ phần Xây lắp Thương mại 2,2017-07-13,UPCOM,Xây dựng công trình
9,ACV,Tổng công ty cảng hàng không Việt Nam - CTCP,2016-11-21,UPCOM,Dịch vụ vận tải
10,ADP,Công ty Cổ phần Sơn Á Đông ,2010-02-02,UPCOM,Vật liệu xây dựng
11,AFX,Công ty Cổ phần Xuất nhập khẩu Nông sản thực phẩm An Giang,2016-12-02,UPCOM,Nông sản và thủy hải sản
12,AG1,Công ty Cổ phần 28.1,2018-01-10,UPCOM,"Đồ may mặc, trang sức, phụ kiện"
13,AGF,Công ty Cổ phần Xuất nhập khẩu thủy sản An Giang ,2020-02-24,UPCOM,Nông sản và thủy hải sản
14,AGP,Công ty Cổ phần Dược phẩm Agimexpharm,2015-10-06,UPCOM,Dược phẩm
15,AGX,Công ty Cổ phần nông sản xuất khẩu Sài Gòn ,2015-09-14,UPCOM,Sản xuất thực phẩm
16,AIC,Tổng Công ty Cổ phần Bảo hiểm Hàng không,2021-01-08,UPCOM,Bảo hiểm đa ngành
17,ALV,Công ty Cổ phần Xây dựng ALVICO,2019-06-21,UPCOM,Vật liệu xây dựng
18,AMP,Công ty Cổ phần Armephaco,2017-01-12,UPCOM,Thiết bị y tế
19,AMS,Công ty cổ phần Cơ khí Xây dựng AMECC,2017-02-06,UPCOM,Vật liệu xây dựng
20,ANT,Công ty Cổ phần Rau quả thực phẩm An Giang,2016-12-22,UPCOM,Sản xuất thực phẩm
21,APF,Công ty Cổ phần Nông sản Thực phẩm Quảng Ngãi,2017-06-08,UPCOM,Sản xuất thực phẩm
22,APL,Công ty cổ phần Cơ khí và thiết bị áp lực – VVMI,2016-10-14,UPCOM,Vật liệu xây dựng
23,APT,Công ty Cổ phần Kinh doanh Thủy hải sản Sài Gòn,2019-06-07,UPCOM,Sản xuất thực phẩm
24,ASA,Công ty Cổ phần ASA,2019-06-21,UPCOM,Sản phẩm gia dụng không lâu bền
25,ATA,Công ty Cổ phần NTACO ,2017-02-17,UPCOM,Nông sản và thủy hải sản
