index,symbol,companyName,listedDate,floor,industryName
0,ACB,Ngân hàng Thương mại Cổ phần Á Châu,2020-12-09,HOSE,Ngân hàng
1,BID,Ngân hàng Thương mại Cổ phần Đầu tư và Phát triển Việt Nam ,2014-01-24,HOSE,Ngân hàng
2,BVH,Tập đoàn Bảo Việt ,2009-06-25,HOSE,Bảo hiểm đa ngành
3,CTG,Ngân hàng Thương mại Cổ phần Công Thương Việt Nam,2009-07-16,HOSE,Ngân hàng
4,FPT,Công ty Cổ phần FPT,2006-12-13,HOSE,Dịch vụ máy tính
5,GAS,Tổng Công ty Khí Việt Nam - CTCP,2012-05-21,HOSE,Gas
6,GVR,Tập đoàn Công nghiệp Cao su Việt Nam - Công ty cổ phần,2020-03-17,HOSE,Hóa chất cơ bản
7,HDB,Ngân hàng Thương mại Cổ phần Phát triển Thành phố Hồ Chí Minh,2018-01-05,HOSE,Ngân hàng
8,HPG,Công ty Cổ phần Tập đoàn Hòa Phát,2007-11-15,HOSE,Thép
9,KDH,Công ty Cổ phần Đầu tư và Kinh doanh Nhà Khang Điền,2010-02-01,HOSE,Đầu tư và phát triển bất động sản
10,MBB,Ngân hàng Thương mại Cổ phần Quân đội ,2011-11-01,HOSE,Ngân hàng
11,MSN,Công ty Cổ phần Tập đoàn Ma San,2009-11-05,HOSE,Sản xuất thực phẩm
12,MWG,Công ty Cổ phần đầu tư thế giới di động,2014-07-14,HOSE,Bán lẻ tổng hợp
13,NVL,Công ty cổ phần Tập đoàn Đầu tư Địa ốc No Va,2016-12-28,HOSE,Đầu tư và phát triển bất động sản
14,PDR,Công ty Cổ phần Phát triển Bất động sản Phát Đạt ,2010-07-30,HOSE,Đầu tư và phát triển bất động sản
15,PLX,Tập đoàn Xăng dầu Việt Nam,2017-04-21,HOSE,Dầu khí tổng hợp
16,PNJ,Công ty Cổ phần Vàng bạc đá quý Phú Nhuận,2009-03-23,HOSE,Cửa hàng chuyên dụng
17,POW,Tổng Công ty Điện lực Dầu khí Việt Nam – Công ty cổ phần,2019-01-14,HOSE,Điện
18,SAB,Tổng Công ty Cổ phần Bia - Rượu - Nước giải khát Sài Gòn,2016-12-06,HOSE,Sản xuất bia
19,SSI,Công ty Cổ phần chứng khoán SSI,2007-10-29,HOSE,Dịch vụ đầu tư
20,STB,Ngân hàng Thương mại Cổ phần Sài Gòn Thương Tín,2006-07-12,HOSE,Ngân hàng
21,TCB,Ngân hàng Thương mại Cổ phần Kỹ Thương Việt Nam - Techcombank,2018-06-04,HOSE,Ngân hàng
22,TPB,Ngân hàng Thương mại cổ phần Tiên Phong,2018-04-19,HOSE,Ngân hàng
23,VCB,Ngân hàng Thương mại Cổ phần Ngoại thương Việt Nam ,2009-06-30,HOSE,Ngân hàng
24,VHM,Công ty cổ phần Vinhomes,2018-05-17,HOSE,Đầu tư và phát triển bất động sản
25,VIC,Tập đoàn VINGROUP - CTCP,2007-09-19,HOSE,Đầu tư và phát triển bất động sản
26,VJC,Công ty cổ phần Hàng không VIETJET,2017-02-28,HOSE,Hàng không
27,VNM,Công ty Cổ phần Sữa Việt Nam,2006-01-19,HOSE,Sản xuất thực phẩm
28,VPB,Ngân hàng Thương mại Cổ phần Việt Nam thịnh vượng,2017-08-17,HOSE,Ngân hàng
29,VRE,Công ty Cổ phần Vincom Retail,2017-11-06,HOSE,Đầu tư và phát triển bất động sản
