index,symbol,companyName,listedDate,floor,industryName
0,BCC,Công ty Cổ phần Xi măng Bỉm Sơn,2006-11-24,HNX,Vật liệu xây dựng
1,BCE,Công ty Cổ phần Xây dựng và Giao thông Bình Dương,2010-06-28,HOSE,Xây dựng công trình
2,BTS,Công ty Cổ phần Xi măng Vicem Bút Sơn,2006-12-05,HNX,Vật liệu xây dựng
3,C32,Công ty cổ phần CIC39,2012-11-30,HOSE,Vật liệu xây dựng
4,C4G,Công ty cổ phần Tập đoàn CIENCO4,2018-12-10,UPCOM,Xây dựng công trình
5,CII,Công ty Cổ phần Đầu tư Hạ tầng Kỹ thuật Thành phố Hồ Chí Minh ,2006-05-18,HOSE,Đầu tư và phát triển bất động sản
6,CTD,Công ty Cổ phần Xây dựng Coteccons,2010-01-20,HOSE,Xây dựng công trình
7,CTI,Công ty Cổ phần Đầu tư Phát triển Cường Thuận IDICO,2010-03-19,HOSE,Xây dựng công trình
8,DHA,Công ty Cổ phần Hoá An,2004-04-14,HOSE,Vật liệu xây dựng
9,DPG,Công ty Cổ phần Tập đoàn Đạt Phương,2018-05-22,HOSE,Xây dựng công trình
10,FCN,Công ty Cổ phần FECON,2012-07-24,HOSE,Xây dựng công trình
11,G36,Tổng công ty 36 - CTCP,2016-12-26,UPCOM,Xây dựng công trình
12,HBC,Công ty Cổ phần Tập đoàn Xây dựng Hòa Bình,2006-12-27,HOSE,Xây dựng công trình
13,HHV,Công ty Cổ phần Đầu tư hạ tầng giao thông Đèo Cả,2015-12-18,UPCOM,Dịch vụ vận tải
14,HOM,Công ty Cổ phần Xi măng Vicem Hoàng Mai,2009-07-09,HNX,Vật liệu xây dựng
15,HT1,Công ty Cổ phần xi măng Hà Tiên 1,2007-11-13,HOSE,Vật liệu xây dựng
16,HTN,Công ty cổ phần Hưng Thịnh Incons,2018-11-12,HOSE,Xây dựng công trình
17,HUT,Công ty Cổ phần TASCO ,2008-04-11,HNX,Xây dựng công trình
18,KSB,Công ty Cổ phần Khoáng sản và Xây dựng Bình Dương,2010-01-20,HOSE,Khai khoáng nói chung
19,LCG,Công ty Cổ phần LICOGI 16,2008-11-18,HOSE,Xây dựng công trình
20,NNC,Công ty Cổ phần Đá Núi Nhỏ,2010-06-23,HOSE,Vật liệu xây dựng
21,PC1,Công ty cổ phần Xây lắp điện I,2016-11-16,HOSE,Xây dựng công trình
22,PHC,Công ty Cổ phần Xây dựng Phục Hưng Holdings,2018-10-03,HOSE,Xây dựng công trình
23,QNC,Công ty Cổ phần Xi măng và Xây dựng Quảng Ninh,2020-10-06,UPCOM,Vật liệu xây dựng
24,ROS,Công ty cổ phần Xây dựng FLC Faros,2016-09-01,HOSE,Xây dựng công trình
25,S99,Công ty Cổ phần SCI,2006-12-22,HNX,Xây dựng công trình
26,SCI,Công ty cổ phần SCI E&C,2016-01-05,HNX,Xây dựng công trình
27,SCJ,Công ty Cổ phần Xi măng Sài Sơn,2019-05-27,UPCOM,Vật liệu xây dựng
28,TTA,Công ty Cổ phần Đầu tư Xây dựng và Phát triển Trường Thành,2020-09-18,HOSE,Điện
29,TV2,Công ty Cổ phần Tư vấn Xây dựng điện 2,2019-06-06,HOSE,Dịch vụ hỗ trợ kinh doanh
30,VCG,Tổng Công ty Cổ phần Xuất nhập khẩu và xây dựng Việt Nam ,2020-12-29,HOSE,Xây dựng công trình
31,VCS,Công ty Cổ phần VICOSTONE,2007-12-17,HNX,Vật liệu xây dựng
32,VGC,Tổng Công ty Viglacera - CTCP,2019-05-29,HOSE,Vật liệu xây dựng
33,VTV,CÔNG TY CỔ PHẦN NĂNG LƯỢNG VÀ MÔI TRƯỜNG VICEM,2006-12-18,HNX,Vật liệu xây dựng
